2017-12-10 15:14:08,301 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:14:08,317 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:14:08,317 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:16:42,778 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:16:42,793 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:16:42,793 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:16:42,793 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:17:52,274 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:17:52,274 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:17:52,274 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:17:52,274 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:18:19,473 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:18:19,473 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:18:19,473 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:18:19,473 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:24:02,600 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 15:24:02,600 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-12-10 15:24:04,786 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:24:04,786 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:24:04,786 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:24:04,786 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:39:12,418 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:39:12,418 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:39:12,418 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:39:12,418 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:39:51,401 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:39:51,401 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
